Date Day,Date,Power_kW,Temperature (C),Hour,Week Day
01-01-2017,2017-01-01 00:00:00,42.99643,8.72,00,6
01-01-2017,2017-01-01 01:00:00,42.7519285,8.5,01,6
01-01-2017,2017-01-01 02:00:00,42.861834,7.91,02,6
01-01-2017,2017-01-01 03:00:00,42.317769,7.2,03,6
01-01-2017,2017-01-01 04:00:00,42.653385,6.792000000000002,04,6
01-01-2017,2017-01-01 05:00:00,42.4377255,6.399,05,6
01-01-2017,2017-01-01 06:00:00,42.307281,5.877999999999999,06,6
01-01-2017,2017-01-01 07:00:00,46.7447975,5.561,07,6
01-01-2017,2017-01-01 08:00:00,46.521709,5.452000000000001,08,6
01-01-2017,2017-01-01 09:00:00,46.554047,5.424,09,6
01-01-2017,2017-01-01 10:00:00,46.689517,5.609,10,6
01-01-2017,2017-01-01 11:00:00,46.7360575,5.872000000000001,11,6
01-01-2017,2017-01-01 12:00:00,46.97313,7.34,12,6
01-01-2017,2017-01-01 13:00:00,47.654413,7.99,13,6
01-01-2017,2017-01-01 14:00:00,47.892578,8.89,14,6
01-01-2017,2017-01-01 15:00:00,47.786387,9.64,15,6
01-01-2017,2017-01-01 16:00:00,48.0199635,9.45,16,6
01-01-2017,2017-01-01 17:00:00,48.2716755,9.24,17,6
01-01-2017,2017-01-01 18:00:00,48.695784,8.84,18,6
01-01-2017,2017-01-01 19:00:00,49.652377,8.85,19,6
01-01-2017,2017-01-01 20:00:00,48.608821,8.96,20,6
01-01-2017,2017-01-01 21:00:00,44.7079405,9.2,21,6
01-01-2017,2017-01-01 22:00:00,44.293446,9.01,22,6
01-01-2017,2017-01-01 23:00:00,43.37662,10.1,23,6
01-02-2017,2017-02-01 00:00:00,43.87764050000001,9.86,00,2
01-02-2017,2017-02-01 01:00:00,42.577347,9.44,01,2
01-02-2017,2017-02-01 02:00:00,42.395555,10.27,02,2
01-02-2017,2017-02-01 03:00:00,42.2406385,9.94,03,2
01-02-2017,2017-02-01 04:00:00,42.4233045,9.78,04,2
01-02-2017,2017-02-01 05:00:00,45.7995665,9.91,05,2
01-02-2017,2017-02-01 06:00:00,52.5118865,10.05,06,2
01-02-2017,2017-02-01 07:00:00,86.14296949999998,10.42,07,2
01-02-2017,2017-02-01 08:00:00,107.1224655,10.19,08,2
01-02-2017,2017-02-01 09:00:00,119.8500905,10.11,09,2
01-02-2017,2017-02-01 10:00:00,191.813721,10.35,10,2
01-02-2017,2017-02-01 11:00:00,196.6576475,11.0,11,2
01-02-2017,2017-02-01 12:00:00,187.0340335,12.07,12,2
01-02-2017,2017-02-01 13:00:00,187.972054,12.53,13,2
01-02-2017,2017-02-01 14:00:00,198.8369665,13.7,14,2
01-02-2017,2017-02-01 15:00:00,199.73085,14.09,15,2
01-02-2017,2017-02-01 16:00:00,203.6592615,13.2,16,2
01-02-2017,2017-02-01 17:00:00,152.1566265,13.17,17,2
01-02-2017,2017-02-01 18:00:00,133.543704,13.63,18,2
01-02-2017,2017-02-01 19:00:00,99.4386945,13.97,19,2
01-02-2017,2017-02-01 20:00:00,82.2925625,13.55,20,2
01-02-2017,2017-02-01 21:00:00,58.2370235,13.69,21,2
01-02-2017,2017-02-01 22:00:00,47.1577625,13.73,22,2
01-02-2017,2017-02-01 23:00:00,43.1981055,13.59,23,2
01-03-2017,2017-03-01 00:00:00,43.569337,14.01,00,2
01-03-2017,2017-03-01 01:00:00,42.3608135,14.44,01,2
01-03-2017,2017-03-01 02:00:00,41.889946,14.19,02,2
01-03-2017,2017-03-01 03:00:00,42.718935,13.1,03,2
01-03-2017,2017-03-01 04:00:00,42.6116515,12.94,04,2
01-03-2017,2017-03-01 05:00:00,45.940936,14.22,05,2
01-03-2017,2017-03-01 06:00:00,49.3606795,14.8,06,2
01-03-2017,2017-03-01 07:00:00,86.5970125,14.9,07,2
01-03-2017,2017-03-01 08:00:00,109.1772395,14.85,08,2
01-03-2017,2017-03-01 09:00:00,125.4096045,14.95,09,2
01-03-2017,2017-03-01 10:00:00,212.5189995,15.38,10,2
01-03-2017,2017-03-01 11:00:00,192.9990835,15.27,11,2
01-03-2017,2017-03-01 12:00:00,202.6742635,15.82,12,2
01-03-2017,2017-03-01 13:00:00,203.2768865,16.19,13,2
01-03-2017,2017-03-01 14:00:00,210.4152815,16.32,14,2
01-03-2017,2017-03-01 15:00:00,204.067638,16.3,15,2
01-03-2017,2017-03-01 16:00:00,198.071124,16.52,16,2
01-03-2017,2017-03-01 17:00:00,153.655318,15.41,17,2
01-03-2017,2017-03-01 18:00:00,138.64611599999998,15.35,18,2
01-03-2017,2017-03-01 19:00:00,101.827118,15.2,19,2
01-03-2017,2017-03-01 20:00:00,82.3651045,14.97,20,2
01-03-2017,2017-03-01 21:00:00,61.1627385,14.94,21,2
01-03-2017,2017-03-01 22:00:00,52.301034,14.84,22,2
01-03-2017,2017-03-01 23:00:00,48.5146475,14.99,23,2
01-04-2017,2017-04-01 00:00:00,48.486898,14.68,00,5
01-04-2017,2017-04-01 01:00:00,47.967305,14.09,01,5
01-04-2017,2017-04-01 02:00:00,46.479757,13.09,02,5
01-04-2017,2017-04-01 03:00:00,46.3685405,12.89,03,5
01-04-2017,2017-04-01 04:00:00,44.5423175,12.07,04,5
01-04-2017,2017-04-01 05:00:00,49.3222235,11.68,05,5
01-04-2017,2017-04-01 06:00:00,53.75711800000001,11.65,06,5
01-04-2017,2017-04-01 07:00:00,89.052734,11.53,07,5
01-04-2017,2017-04-01 08:00:00,109.9052815,11.44,08,5
01-04-2017,2017-04-01 09:00:00,126.5930005,11.3,09,5
01-04-2017,2017-04-01 10:00:00,222.585076,11.43,10,5
01-04-2017,2017-04-01 11:00:00,196.8739625,11.76,11,5
01-04-2017,2017-04-01 12:00:00,200.8982955,12.41,12,5
01-04-2017,2017-04-01 13:00:00,207.1819185,13.27,13,5
01-04-2017,2017-04-01 14:00:00,212.2375715,14.5,14,5
01-04-2017,2017-04-01 15:00:00,212.1615335,14.5,15,5
01-04-2017,2017-04-01 16:00:00,207.215786,13.91,16,5
01-04-2017,2017-04-01 17:00:00,153.88649099999995,13.87,17,5
01-04-2017,2017-04-01 18:00:00,133.6671565,13.77,18,5
01-04-2017,2017-04-01 19:00:00,100.0067945,13.62,19,5
01-04-2017,2017-04-01 20:00:00,79.0683765,13.44,20,5
01-04-2017,2017-04-01 21:00:00,59.149261,12.97,21,5
01-04-2017,2017-04-01 22:00:00,49.2278315,12.91,22,5
01-04-2017,2017-04-01 23:00:00,47.202555,12.36,23,5
01-05-2017,2017-05-01 00:00:00,46.359145,12.11,00,0
01-05-2017,2017-05-01 01:00:00,44.576185,11.81,01,0
01-05-2017,2017-05-01 02:00:00,43.4388925,11.85,02,0
01-05-2017,2017-05-01 03:00:00,42.7965025,11.37,03,0
01-05-2017,2017-05-01 04:00:00,43.1919875,10.9,04,0
01-05-2017,2017-05-01 05:00:00,47.8901745,10.78,05,0
01-05-2017,2017-05-01 06:00:00,52.149832,10.35,06,0
01-05-2017,2017-05-01 07:00:00,86.5699185,9.91,07,0
01-05-2017,2017-05-01 08:00:00,107.6713375,9.31,08,0
01-05-2017,2017-05-01 09:00:00,133.7043015,8.9,09,0
01-05-2017,2017-05-01 10:00:00,219.4091785,8.6,10,0
01-05-2017,2017-05-01 11:00:00,190.9233335,9.37,11,0
01-05-2017,2017-05-01 12:00:00,191.6133565,9.52,12,0
01-05-2017,2017-05-01 13:00:00,198.440826,9.67,13,0
01-05-2017,2017-05-01 14:00:00,199.73085,10.35,14,0
01-05-2017,2017-05-01 15:00:00,200.502155,10.15,15,0
01-05-2017,2017-05-01 16:00:00,201.316286,9.91,16,0
01-05-2017,2017-05-01 17:00:00,152.317224,9.97,17,0
01-05-2017,2017-05-01 18:00:00,138.8705155,10.04,18,0
01-05-2017,2017-05-01 19:00:00,107.349924,10.0,19,0
01-05-2017,2017-05-01 20:00:00,83.7128125,9.85,20,0
01-05-2017,2017-05-01 21:00:00,59.170237,9.85,21,0
01-05-2017,2017-05-01 22:00:00,48.8651215,9.55,22,0
01-05-2017,2017-05-01 23:00:00,44.972107,9.35,23,0
01-06-2017,2017-06-01 00:00:00,42.7742155,9.18,00,3
01-06-2017,2017-06-01 01:00:00,42.6933705,9.52,01,3
01-06-2017,2017-06-01 02:00:00,42.9546965,9.17,02,3
01-06-2017,2017-06-01 03:00:00,43.1190085,9.19,03,3
01-06-2017,2017-06-01 04:00:00,42.6820085,8.58,04,3
01-06-2017,2017-06-01 05:00:00,46.71333350000001,8.22,05,3
01-06-2017,2017-06-01 06:00:00,52.3580625,8.34,06,3
01-06-2017,2017-06-01 07:00:00,88.63758399999998,8.28,07,3
01-06-2017,2017-06-01 08:00:00,109.6548805,7.8,08,3
01-06-2017,2017-06-01 09:00:00,123.7079265,7.45,09,3
01-06-2017,2017-06-01 10:00:00,218.510925,7.19,10,3
01-06-2017,2017-06-01 11:00:00,199.508417,7.1,11,3
01-06-2017,2017-06-01 12:00:00,206.4827185,7.79,12,3
01-06-2017,2017-06-01 13:00:00,210.840701,8.11,13,3
01-06-2017,2017-06-01 14:00:00,212.97610150000003,8.42,14,3
01-06-2017,2017-06-01 15:00:00,216.6853575,10.73,15,3
01-06-2017,2017-06-01 16:00:00,213.9645955,13.02,16,3
01-06-2017,2017-06-01 17:00:00,159.67564850000005,12.82,17,3
01-06-2017,2017-06-01 18:00:00,141.32252250000005,11.93,18,3
01-06-2017,2017-06-01 19:00:00,104.9488275,12.27,19,3
01-06-2017,2017-06-01 20:00:00,78.147836,12.48,20,3
01-06-2017,2017-06-01 21:00:00,57.32150849999999,12.09,21,3
01-06-2017,2017-06-01 22:00:00,47.5733495,11.07,22,3
01-06-2017,2017-06-01 23:00:00,46.919816,10.03,23,3
01-07-2017,2017-07-01 00:00:00,46.517776,9.59,00,5
01-07-2017,2017-07-01 01:00:00,45.453681,9.43,01,5
01-07-2017,2017-07-01 02:00:00,44.258049,9.23,02,5
01-07-2017,2017-07-01 03:00:00,43.994975,8.75,03,5
01-07-2017,2017-07-01 04:00:00,43.751129,8.25,04,5
01-07-2017,2017-07-01 05:00:00,43.977932,7.71,05,5
01-07-2017,2017-07-01 06:00:00,44.3238175,7.37,06,5
01-07-2017,2017-07-01 07:00:00,48.347058,7.28,07,5
01-07-2017,2017-07-01 08:00:00,49.4201115,7.14,08,5
01-07-2017,2017-07-01 09:00:00,49.287045,7.22,09,5
01-07-2017,2017-07-01 10:00:00,49.1574745,8.05,10,5
01-07-2017,2017-07-01 11:00:00,49.183476,9.58,11,5
01-07-2017,2017-07-01 12:00:00,49.186098,10.04,12,5
01-07-2017,2017-07-01 13:00:00,49.1771395,11.14,13,5
01-07-2017,2017-07-01 14:00:00,50.7647605,11.94,14,5
01-07-2017,2017-07-01 15:00:00,50.671024,12.35,15,5
01-07-2017,2017-07-01 16:00:00,51.3197505,13.44,16,5
01-07-2017,2017-07-01 17:00:00,54.73862,13.59,17,5
01-07-2017,2017-07-01 18:00:00,53.7599585,12.25,18,5
01-07-2017,2017-07-01 19:00:00,54.438401,12.08,19,5
01-07-2017,2017-07-01 20:00:00,53.2984865,11.94,20,5
01-07-2017,2017-07-01 21:00:00,47.452519,11.8,21,5
01-07-2017,2017-07-01 22:00:00,46.3348915,11.4,22,5
01-07-2017,2017-07-01 23:00:00,45.7244025,11.25,23,5
01-08-2017,2017-08-01 00:00:00,44.863294,10.15,00,1
01-08-2017,2017-08-01 01:00:00,43.598616,9.75,01,1
01-08-2017,2017-08-01 02:00:00,43.7688275,9.28,02,1
01-08-2017,2017-08-01 03:00:00,43.44107750000001,8.73,03,1
01-08-2017,2017-08-01 04:00:00,43.285287,7.34,04,1
01-08-2017,2017-08-01 05:00:00,43.05324,7.11,05,1
01-08-2017,2017-08-01 06:00:00,43.0967215,6.702000000000001,06,1
01-08-2017,2017-08-01 07:00:00,47.309183,6.559,07,1
01-08-2017,2017-08-01 08:00:00,47.2490955,6.2620000000000005,08,1
01-08-2017,2017-08-01 09:00:00,46.6858025,6.608,09,1
01-08-2017,2017-08-01 10:00:00,47.7061975,6.91,10,1
01-08-2017,2017-08-01 11:00:00,47.393961,7.98,11,1
01-08-2017,2017-08-01 12:00:00,48.496949,9.1,12,1
