Date,Power_kW,Temperature (C),Year
01/01/2017 0:00,42.99643,8.72,2017
01/01/2017 1:00,42.7519285,8.5,2017
01/01/2017 2:00,42.861834,7.91,2017
01/01/2017 3:00,42.317769,7.2,2017
01/01/2017 4:00,42.653385,6.792000000000002,2017
01/01/2017 5:00,42.4377255,6.399,2017
01/01/2017 6:00,42.307281,5.877999999999999,2017
01/01/2017 7:00,46.7447975,5.561,2017
01/01/2017 8:00,46.521709,5.452000000000001,2017
01/01/2017 9:00,46.554047,5.424,2017
01/01/2017 10:00,46.689517,5.609,2017
01/01/2017 11:00,46.7360575,5.872000000000001,2017
01/01/2017 12:00,46.97313,7.34,2017
01/01/2017 13:00,47.654413,7.99,2017
01/01/2017 14:00,47.892578,8.89,2017
01/01/2017 15:00,47.786387,9.64,2017
01/01/2017 16:00,48.0199635,9.45,2017
01/01/2017 17:00,48.2716755,9.24,2017
01/01/2017 18:00,48.695784,8.84,2017
01/01/2017 19:00,49.652377,8.85,2017
01/01/2017 20:00,48.608821,8.96,2017
01/01/2017 21:00,44.7079405,9.2,2017
01/01/2017 22:00,44.293446,9.01,2017
01/01/2017 23:00,43.37662,10.1,2017
02/01/2017 0:00,43.87764050000001,9.86,2017
02/01/2017 1:00,42.577347,9.44,2017
02/01/2017 2:00,42.395555,10.27,2017
02/01/2017 3:00,42.2406385,9.94,2017
02/01/2017 4:00,42.4233045,9.78,2017
02/01/2017 5:00,45.7995665,9.91,2017
02/01/2017 6:00,52.5118865,10.05,2017
02/01/2017 7:00,86.14296949999998,10.42,2017
02/01/2017 8:00,107.1224655,10.19,2017
02/01/2017 9:00,119.8500905,10.11,2017
02/01/2017 10:00,191.813721,10.35,2017
02/01/2017 11:00,196.6576475,11.0,2017
02/01/2017 12:00,187.0340335,12.07,2017
02/01/2017 13:00,187.972054,12.53,2017
02/01/2017 14:00,198.8369665,13.7,2017
02/01/2017 15:00,199.73085,14.09,2017
02/01/2017 16:00,203.6592615,13.2,2017
02/01/2017 17:00,152.1566265,13.17,2017
02/01/2017 18:00,133.543704,13.63,2017
02/01/2017 19:00,99.4386945,13.97,2017
02/01/2017 20:00,82.2925625,13.55,2017
02/01/2017 21:00,58.2370235,13.69,2017
02/01/2017 22:00,47.1577625,13.73,2017
02/01/2017 23:00,43.1981055,13.59,2017
03/01/2017 0:00,43.569337,14.01,2017
03/01/2017 1:00,42.3608135,14.44,2017
03/01/2017 2:00,41.889946,14.19,2017
03/01/2017 3:00,42.718935,13.1,2017
03/01/2017 4:00,42.6116515,12.94,2017
03/01/2017 5:00,45.940936,14.22,2017
03/01/2017 6:00,49.3606795,14.8,2017
03/01/2017 7:00,86.5970125,14.9,2017
03/01/2017 8:00,109.1772395,14.85,2017
03/01/2017 9:00,125.4096045,14.95,2017
03/01/2017 10:00,212.5189995,15.38,2017
03/01/2017 11:00,192.9990835,15.27,2017
03/01/2017 12:00,202.6742635,15.82,2017
03/01/2017 13:00,203.2768865,16.19,2017
03/01/2017 14:00,210.4152815,16.32,2017
03/01/2017 15:00,204.067638,16.3,2017
03/01/2017 16:00,198.071124,16.52,2017
03/01/2017 17:00,153.655318,15.41,2017
03/01/2017 18:00,138.64611599999998,15.35,2017
03/01/2017 19:00,101.827118,15.2,2017
03/01/2017 20:00,82.3651045,14.97,2017
03/01/2017 21:00,61.1627385,14.94,2017
03/01/2017 22:00,52.301034,14.84,2017
03/01/2017 23:00,48.5146475,14.99,2017
04/01/2017 0:00,48.486898,14.68,2017
04/01/2017 1:00,47.967305,14.09,2017
04/01/2017 2:00,46.479757,13.09,2017
04/01/2017 3:00,46.3685405,12.89,2017
04/01/2017 4:00,44.5423175,12.07,2017
04/01/2017 5:00,49.3222235,11.68,2017
04/01/2017 6:00,53.75711800000001,11.65,2017
04/01/2017 7:00,89.052734,11.53,2017
04/01/2017 8:00,109.9052815,11.44,2017
04/01/2017 9:00,126.5930005,11.3,2017
04/01/2017 10:00,222.585076,11.43,2017
04/01/2017 11:00,196.8739625,11.76,2017
04/01/2017 12:00,200.8982955,12.41,2017
04/01/2017 13:00,207.1819185,13.27,2017
04/01/2017 14:00,212.2375715,14.5,2017
04/01/2017 15:00,212.1615335,14.5,2017
04/01/2017 16:00,207.215786,13.91,2017
04/01/2017 17:00,153.88649099999995,13.87,2017
04/01/2017 18:00,133.6671565,13.77,2017
04/01/2017 19:00,100.0067945,13.62,2017
04/01/2017 20:00,79.0683765,13.44,2017
04/01/2017 21:00,59.149261,12.97,2017
04/01/2017 22:00,49.2278315,12.91,2017
04/01/2017 23:00,47.202555,12.36,2017
05/01/2017 0:00,46.359145,12.11,2017
05/01/2017 1:00,44.576185,11.81,2017
05/01/2017 2:00,43.4388925,11.85,2017
05/01/2017 3:00,42.7965025,11.37,2017
05/01/2017 3:59,43.1919875,10.9,2017
05/01/2017 4:59,47.8901745,10.78,2017
05/01/2017 5:59,52.149832,10.35,2017
05/01/2017 6:59,86.5699185,9.91,2017
05/01/2017 7:59,107.6713375,9.31,2017
05/01/2017 8:59,133.7043015,8.9,2017
05/01/2017 9:59,219.4091785,8.6,2017
05/01/2017 10:59,190.9233335,9.37,2017
05/01/2017 11:59,191.6133565,9.52,2017
05/01/2017 12:59,198.440826,9.67,2017
05/01/2017 13:59,199.73085,10.35,2017
05/01/2017 14:59,200.502155,10.15,2017
05/01/2017 15:59,201.316286,9.91,2017
05/01/2017 16:59,152.317224,9.97,2017
05/01/2017 17:59,138.8705155,10.04,2017
05/01/2017 18:59,107.349924,10.0,2017
05/01/2017 19:59,83.7128125,9.85,2017
05/01/2017 20:59,59.170237,9.85,2017
05/01/2017 21:59,48.8651215,9.55,2017
05/01/2017 22:59,44.972107,9.35,2017
05/01/2017 23:59,42.7742155,9.18,2017
06/01/2017 0:59,42.6933705,9.52,2017
06/01/2017 1:59,42.9546965,9.17,2017
06/01/2017 2:59,43.1190085,9.19,2017
06/01/2017 3:59,42.6820085,8.58,2017
06/01/2017 4:59,46.71333350000001,8.22,2017
06/01/2017 5:59,52.3580625,8.34,2017
06/01/2017 6:59,88.63758399999998,8.28,2017
06/01/2017 7:59,109.6548805,7.8,2017
06/01/2017 8:59,123.7079265,7.45,2017
06/01/2017 9:59,218.510925,7.19,2017
06/01/2017 10:59,199.508417,7.1,2017
06/01/2017 11:59,206.4827185,7.79,2017
06/01/2017 12:59,210.840701,8.11,2017
06/01/2017 13:59,212.97610150000003,8.42,2017
06/01/2017 14:59,216.6853575,10.73,2017
06/01/2017 15:59,213.9645955,13.02,2017
06/01/2017 16:59,159.67564850000005,12.82,2017
06/01/2017 17:59,141.32252250000005,11.93,2017
06/01/2017 18:59,104.9488275,12.27,2017
06/01/2017 19:59,78.147836,12.48,2017
06/01/2017 20:59,57.32150849999999,12.09,2017
06/01/2017 21:59,47.5733495,11.07,2017
06/01/2017 22:59,46.919816,10.03,2017
06/01/2017 23:59,46.517776,9.59,2017
07/01/2017 0:59,45.453681,9.43,2017
07/01/2017 1:59,44.258049,9.23,2017
07/01/2017 2:59,43.994975,8.75,2017
07/01/2017 3:59,43.751129,8.25,2017
07/01/2017 4:59,43.977932,7.71,2017
07/01/2017 5:59,44.3238175,7.37,2017
07/01/2017 6:59,48.347058,7.28,2017
07/01/2017 7:59,49.4201115,7.14,2017
07/01/2017 8:59,49.287045,7.22,2017
07/01/2017 9:59,49.1574745,8.05,2017
07/01/2017 10:59,49.183476,9.58,2017
07/01/2017 11:59,49.186098,10.04,2017
07/01/2017 12:59,49.1771395,11.14,2017
07/01/2017 13:59,50.7647605,11.94,2017
07/01/2017 14:59,50.671024,12.35,2017
07/01/2017 15:59,51.3197505,13.44,2017
07/01/2017 16:59,54.73862,13.59,2017
07/01/2017 17:59,53.7599585,12.25,2017
07/01/2017 18:59,54.438401,12.08,2017
07/01/2017 19:59,53.2984865,11.94,2017
07/01/2017 20:59,47.452519,11.8,2017
07/01/2017 21:59,46.3348915,11.4,2017
07/01/2017 22:59,45.7244025,11.25,2017
07/01/2017 23:59,44.863294,10.15,2017
08/01/2017 0:59,43.598616,9.75,2017
08/01/2017 1:59,43.7688275,9.28,2017
08/01/2017 2:59,43.44107750000001,8.73,2017
08/01/2017 3:59,43.285287,7.34,2017
08/01/2017 4:59,43.05324,7.11,2017
08/01/2017 5:59,43.0967215,6.702000000000001,2017
08/01/2017 6:59,47.309183,6.559,2017
08/01/2017 7:59,47.2490955,6.2620000000000005,2017
08/01/2017 8:59,46.6858025,6.608,2017
08/01/2017 9:59,47.7061975,6.91,2017
08/01/2017 10:59,47.393961,7.98,2017
08/01/2017 11:59,48.496949,9.1,2017
08/01/2017 12:59,47.905251,10.17,2017
08/01/2017 13:59,48.634167,11.48,2017
08/01/2017 14:59,48.828195,12.39,2017
08/01/2017 15:59,50.564396,13.16,2017
08/01/2017 16:59,52.7583545,12.37,2017
08/01/2017 17:59,52.534392,11.71,2017
08/01/2017 18:59,52.0683315,11.52,2017
08/01/2017 19:59,51.5124675,11.07,2017
08/01/2017 20:59,46.574586,10.18,2017
08/01/2017 21:59,45.2624935,9.98,2017
08/01/2017 22:59,46.456159,9.7,2017
08/01/2017 23:59,46.6753145,9.19,2017
09/01/2017 0:59,45.348364,8.87,2017
09/01/2017 1:59,44.9211965,8.85,2017
09/01/2017 2:59,44.630373,9.17,2017
09/01/2017 3:59,43.36788,8.41,2017
09/01/2017 4:59,47.620764,7.39,2017
09/01/2017 5:59,50.474811,8.4,2017
09/01/2017 6:59,89.1831785,7.61,2017
09/01/2017 7:59,113.4830005,6.245,2017
09/01/2017 8:59,129.6148555,6.994,2017
09/01/2017 9:59,204.4537275,7.56,2017
09/01/2017 10:59,193.212558,7.85,2017
09/01/2017 11:59,193.6414735,9.53,2017
09/01/2017 12:59,191.4630285,10.65,2017
09/01/2017 13:59,202.330563,12.9,2017
09/01/2017 14:59,208.772817,16.6,2017
09/01/2017 15:59,209.293721,16.05,2017
09/01/2017 16:59,156.076298,16.21,2017
09/01/2017 17:59,137.93686499999998,14.64,2017
09/01/2017 18:59,109.503897,13.46,2017
09/01/2017 19:59,86.9579745,13.38,2017
09/01/2017 20:59,61.995879,12.76,2017
09/01/2017 21:59,53.896958,11.86,2017
09/01/2017 22:59,51.5478645,11.46,2017
09/01/2017 23:59,49.276994,12.04,2017
10/01/2017 0:59,45.1195945,11.88,2017
10/01/2017 1:59,43.31019600000001,11.67,2017
10/01/2017 2:59,43.251201,11.32,2017
10/01/2017 3:59,43.0831745,11.46,2017
10/01/2017 4:59,48.229068,11.33,2017
10/01/2017 5:59,48.957984,11.29,2017
10/01/2017 6:59,91.4367875,11.49,2017
10/01/2017 7:59,115.9341335,12.04,2017
10/01/2017 8:59,126.422352,11.95,2017
10/01/2017 9:59,226.8467,12.34,2017
10/01/2017 10:59,214.7459515,12.88,2017
10/01/2017 11:59,209.71717400000003,13.76,2017
10/01/2017 12:59,211.0161565,14.09,2017
10/01/2017 13:59,218.527094,14.8,2017
10/01/2017 14:59,220.2237465,13.76,2017
10/01/2017 15:59,215.0929295,13.99,2017
10/01/2017 16:59,164.3821385,13.2,2017
10/01/2017 17:59,142.32762250000005,12.88,2017
10/01/2017 18:59,106.765655,12.65,2017
10/01/2017 19:59,87.71158100000002,12.44,2017
10/01/2017 20:59,65.0948645,12.54,2017
10/01/2017 21:59,56.681085,12.4,2017
10/01/2017 22:59,48.478158,12.41,2017
10/01/2017 23:59,47.81610300000001,12.41,2017
11/01/2017 0:59,45.7930115,12.24,2017
11/01/2017 1:59,44.5838325,12.23,2017
11/01/2017 2:59,43.925929,12.19,2017
11/01/2017 3:59,44.149673,12.29,2017
11/01/2017 4:59,47.6297225,12.2,2017
11/01/2017 5:59,49.487628,11.99,2017
11/01/2017 6:59,90.1249135,11.92,2017
11/01/2017 7:59,108.9028035,11.73,2017
11/01/2017 8:59,122.7176845,12.07,2017
11/01/2017 9:59,220.0721075,13.09,2017
11/01/2017 10:59,201.3737515,13.66,2017
11/01/2017 11:59,205.864145,13.47,2017
11/01/2017 12:59,212.5880455,16.73,2017
11/01/2017 13:59,210.276971,16.9,2017
11/01/2017 14:59,215.977636,17.93,2017
11/01/2017 15:59,229.878169,18.97,2017
11/01/2017 16:59,162.654896,16.44,2017
11/01/2017 17:59,140.5560245,16.08,2017
11/01/2017 18:59,106.58298899999998,15.81,2017
11/01/2017 19:59,80.9929245,14.55,2017
11/01/2017 20:59,58.87089200000001,15.18,2017
11/01/2017 21:59,53.7831195,13.39,2017
11/01/2017 22:59,51.376779,13.25,2017
11/01/2017 23:59,48.60314,12.97,2017
12/01/2017 0:59,46.3947605,12.45,2017
12/01/2017 1:59,44.6725435,11.47,2017
12/01/2017 2:59,44.9600895,11.14,2017
12/01/2017 3:59,45.169631,10.49,2017
12/01/2017 4:59,48.762208,9.28,2017
12/01/2017 5:59,51.419168,9.03,2017
12/01/2017 6:59,91.3957095,8.27,2017
12/01/2017 7:59,119.7203015,8.15,2017
12/01/2017 8:59,141.54670349999995,8.55,2017
12/01/2017 9:59,235.2993725,9.27,2017
12/01/2017 10:59,207.000782,10.46,2017
12/01/2017 11:59,211.969909,9.67,2017
12/01/2017 12:59,216.8798225,10.45,2017
12/01/2017 13:59,220.040862,10.7,2017
12/01/2017 14:59,220.870288,12.58,2017
12/01/2017 15:59,210.7172485,13.92,2017
12/01/2017 16:59,152.5451195,12.99,2017
12/01/2017 17:59,139.989454,12.72,2017
12/01/2017 18:59,104.769002,12.22,2017
12/01/2017 19:59,85.321191,12.15,2017
12/01/2017 20:59,58.34102950000001,12.24,2017
12/01/2017 21:59,50.275539,12.09,2017
12/01/2017 22:59,47.4658475,12.29,2017
12/01/2017 23:59,45.9280445,11.99,2017
13/01/2017 0:59,44.01901,11.79,2017
13/01/2017 1:59,42.968899,11.75,2017
